year,month,day,Qvic
1981,3,4,1.5778
1981,3,5,1.5719
1981,3,6,1.5566
1981,3,7,1.5323
1981,3,8,1.555
1981,3,9,1.5557
1981,3,10,1.5071
1981,3,11,1.4943
1981,3,12,1.4745
1981,3,13,1.4515
1981,3,14,1.4401
1981,3,15,1.4289
1981,3,16,1.4176
1981,3,17,1.4066
1981,3,18,1.3952
1981,3,19,1.384
1981,3,20,1.3725
1981,3,21,1.4281
1981,3,22,2.2937
1981,3,23,5.3743
1981,3,24,6.2729
1981,3,25,3.2847
1981,3,26,1.4343
1981,3,27,1.3297
1981,3,28,1.3265
1981,3,29,1.3223
1981,3,30,1.3173
1981,3,31,1.3137
1981,4,1,1.4877
1981,4,2,2.5856
1981,4,3,3.7267
1981,4,4,10.5319
1981,4,5,14.7635
1981,4,6,8.0044
1981,4,7,3.5541
1981,4,8,6.6612
1981,4,9,7.103
1981,4,10,3.8762
1981,4,11,4.4271
1981,4,12,11.5362
1981,4,13,25.842
1981,4,14,29.8553
1981,4,15,25.4548
1981,4,16,19.7309
1981,4,17,8.7293
1981,4,18,3.877
1981,4,19,3.2779
1981,4,20,2.9333
1981,4,21,3.6829
1981,4,22,5.8458
1981,4,23,7.1678
1981,4,24,14.8047
1981,4,25,55.5543
1981,4,26,76.6237
1981,4,27,40.3801
1981,4,28,21.8326
1981,4,29,20.1697
1981,4,30,11.4076
1981,5,1,11.1747
1981,5,2,30.1588
1981,5,3,64.9641
1981,5,4,79.2127
1981,5,5,70.2708
1981,5,6,45.0701
1981,5,7,22.4107
1981,5,8,14.7632
1981,5,9,14.2737
1981,5,10,15.6578
1981,5,11,21.6075
1981,5,12,28.6195
1981,5,13,39.0281
1981,5,14,54.1979
1981,5,15,54.8831
1981,5,16,60.7226
1981,5,17,76.4089
1981,5,18,94.2543
1981,5,19,115.0101
1981,5,20,134.7537
1981,5,21,236.9779
1981,5,22,371.682
1981,5,23,405.5021
1981,5,24,367.9501
1981,5,25,317.1423
1981,5,26,308.4072
1981,5,27,300.7667
1981,5,28,252.6103
1981,5,29,213.1105
1981,5,30,193.6215
1981,5,31,206.7109
1981,6,1,251.0754
1981,6,2,258.9745
1981,6,3,216.8047
1981,6,4,179.6337
1981,6,5,159.9927
1981,6,6,153.3753
1981,6,7,168.1821
1981,6,8,192.5301
1981,6,9,189.9593
1981,6,10,157.5277
1981,6,11,134.0472
1981,6,12,138.9973
1981,6,13,142.6652
1981,6,14,123.8797
1981,6,15,106.1375
1981,6,16,99.9659
1981,6,17,97.383
1981,6,18,92.0704
1981,6,19,83.5601
1981,6,20,80.6739
1981,6,21,78.8853
1981,6,22,75.8075
1981,6,23,77.8893
1981,6,24,80.8706
1981,6,25,90.8699
1981,6,26,103.3584
1981,6,27,91.5715
1981,6,28,82.1134
1981,6,29,80.0922
1981,6,30,62.4335
1981,7,1,50.7026
1981,7,2,49.3809
1981,7,3,61.904
1981,7,4,118.5528
1981,7,5,232.0785
1981,7,6,362.4775
1981,7,7,335.0333
1981,7,8,179.5782
1981,7,9,115.6047
1981,7,10,126.5914
1981,7,11,134.406
1981,7,12,123.2619
1981,7,13,114.926
1981,7,14,110.7887
1981,7,15,122.0321
1981,7,16,167.7374
1981,7,17,203.7105
1981,7,18,203.2453
