year,month,Qm
1986,6,120.98
1986,7,126.75
1986,8,223.63
1986,9,290.51
1986,10,120.63
1986,11,82.61
1986,12,71.99
1987,1,43.61
1987,2,23.34
1987,3,30.38
1987,4,30.03
1987,5,60.97
1987,6,83.49
1987,7,32.1
1987,8,327.75
1987,9,209.62
1987,10,174.41
1987,11,143.36
1987,12,75.74
1988,1,27.61
1988,2,22.2
1988,3,21.78
1988,4,63.93
1988,5,123.05
1988,6,271.12
1988,7,208.52
1988,8,223.75
1988,9,203.34
1988,10,205.34
1988,11,154.22
1988,12,101.77
1989,1,33.73
1989,2,14.23
1989,3,17.32
1989,4,37.55
1989,5,60.14
1989,6,98.47
1989,7,125.3
1989,8,135.31
1989,9,238.3
1989,10,296.61
1989,11,122.91
1989,12,79.89
1990,1,45.6
1990,2,28.71
1990,3,17.65
1990,4,58.51
1990,5,125.43
1990,6,136.01
1990,7,67.95
1990,8,117.5
1990,9,167.83
1990,10,131.38
1990,11,99.33
1990,12,51.86
1991,1,37.68
1991,2,37.27
1991,3,36.5
1991,4,23.29
1991,5,28.45
1991,6,26.47
1991,7,44.65
1991,8,131.31
1991,9,183.79
1991,10,106.91
1991,11,102.72
1991,12,51.42
1992,1,12.95
1992,2,12.91
1992,3,15.74
1992,4,17.63
1992,5,15.37
1992,6,12.29
1992,7,41.19
1992,8,111.09
1992,9,192.2
1992,10,123.79
1992,11,81.08
1992,12,89.98
1993,1,23.73
1993,2,12.42
1993,3,13.42
1993,4,43.1
1993,5,50.2
1993,6,47.3
1993,7,47
1993,8,47.9
1993,9,187
1993,10,116
1993,11,48.5
1993,12,33.5
1994,1,20.1
1994,2,8.47
1994,3,29.1
1994,4,30.6
1994,5,57.8
1994,6,114
1994,7,118
1994,8,612
1994,9,735
1994,10,289
1994,11,163
1994,12,142
1995,1,64.1
1995,2,23.8
1995,3,24.6
1995,4,36.62
1995,5,76.18
1995,6,60.02
1995,7,133.71
1995,8,497.13
1995,9,644.23
1995,10,288.97
1995,11,143.36
1995,12,86.63
1996,1,40.11
1996,2,55.69
1996,3,33.42
1996,4,61.36
1996,5,67.86
1996,6,153.84
1996,7,120.81
1996,8,247.84
1996,9,325.42
1996,10,160.59
1996,11,123.61
1996,12,59.54
1997,1,27.7
1997,2,22.37
1997,3,24.63
1997,4,37.47
1997,5,55.87
1997,6,49.52
1997,7,113.35
1997,8,114.82
1997,9,198.53
1997,10,233.12
1997,11,83.4
1997,12,38.98
1998,1,21.32
1998,2,13.56
1998,3,26.4
1998,4,55.01
1998,5,52.82
1998,6,24.57
1998,7,42.96
1998,8,78.04
1998,9,122.47
1998,10,26.09
1998,11,32.93
1998,12,16.67
1999,1,7.11
1999,2,12.37
1999,3,16.81
1999,4,27.64
1999,5,108.16
1999,6,93.02
1999,7,43.04
1999,8,126.34
1999,9,245.33
1999,10,122.89
1999,11,110.85
1999,12,53.32
2000,1,18.9
2000,2,12.58
2000,3,18.9
2000,4,50.65
2000,5,129.41
2000,6,140.74
2000,7,149.85
2000,8,166.91
2000,9,177.02
2000,10,158.25
2000,11,110.44
2000,12,52.33
2001,1,26.3
2001,2,14.9
2001,3,35.72
2001,4,38.72
2001,5,105.31
2001,6,68.81
2001,7,128.38
2001,8,418.92
2001,9,185.7
2001,10,142.25
2001,11,128.38
2001,12,75.8
2002,1,40.32
2002,2,28.81
2002,3,30.88
2002,4,38.74
2002,5,91.12
2002,6,76.42
2002,7,75.18
2002,8,190.4
2002,9,485.51
2002,10,221.92
2002,11,287.65
2002,12,167.76
2003,1,116.74
2003,2,47.92
2003,3,48.14
2003,4,47.11
2003,5,65.2
2003,6,73.24
2003,7,80.1
2003,8,118.36
2003,9,329.8
2003,10,99.98
2003,11,71.26
2003,12,31.63
2004,1,20.69
2004,2,21.97
2004,3,21.04
2004,4,14.9
2004,5,54.3
2004,6,135.7
2004,7,219
2004,8,328
2004,9,573.4
2004,10,198.1
2004,11,97.7
2004,12,62.8
2005,1,36
2005,2,33.7
2005,3,60.5
2005,4,83.93
2005,5,86.47
2005,6,87.59
2005,7,191.56
2005,8,379.95
2005,9,734.5
2005,10,438.28
2005,11,300.02
2005,12,151.45
2006,1,73.78
2006,2,53.27
2006,3,58.11
2006,4,84.68
2006,5,146.19
2006,6,179.95
2006,7,187.46
2006,8,422.63
2006,9,489.31
2006,10,361.12
2006,11,137.45
2006,12,73.76
2007,1,43.38
2007,2,35.16
2007,3,46.7
2007,4,56.93
2007,5,184.72
2007,6,168.82
2007,7,99.89
2007,8,133.4
2007,9,186.81
2007,10,159.76
2007,11,105.01
2007,12,59.04
2008,1,30.3
2008,2,34.16
2008,3,42.27
2008,4,58.72
2008,5,107.3
2008,6,79.9
2008,7,88.7
2008,8,227.85
2008,9,320.45
2008,10,202.97
2008,11,140.56
2008,12,53.9
2009,1,30.59
2009,2,20.27
2009,3,50.47
2009,4,54.09
2009,5,62.54
2009,6,73.82
2009,7,77.97
2009,8,89.37
2009,9,191.95
2009,10,133.28
2009,11,63.79
2009,12,34.74
2010,1,18.99
2010,2,8.25
2010,3,8.34
2010,4,6.37
2010,5,34.79
2010,6,40.47
2010,7,77.6
2010,8,296.98
2010,9,442.66
2010,10,238.63
2010,11,121.54
2010,12,39.56
2011,1,22.53
2011,2,14.14
2011,3,39.4
2011,4,99.44
2011,5,225.25
2011,6,197.51
2011,7,229.09
2011,8,615.38
2011,9,749.02
2011,10,476.33
2011,11,181.27
2011,12,100.44
2012,1,65.53
2012,2,47.53
2012,3,49.66
2012,4,51.72
2012,5,78.23
2012,6,68.89
2012,7,70.8
2012,8,89.7
2012,9,282.87
2012,10,108.29
2012,11,75.53
2012,12,28.72
2013,1,11.87
2013,2,17.01
2013,3,23.92
2013,4,18.21
2013,5,14.11
2013,6,9.9
2013,7,35.95
2013,8,163.71
2013,9,244.7
2013,10,236.6
2013,11,116.59
2013,12,71.1
2014,1,37.52
2014,2,28.32
2014,3,26.16
2014,4,42.04
2014,5,51.33
2014,6,47.25
2014,7,94.23
2014,8,168.57
2014,9,216.09
2014,10,90.3
2014,11,71.18
2014,12,30.7
2015,1,28.61
2015,2,18.7
2015,3,15.55
2015,4,26.34
2015,5,21.62
2015,6,15.14
2015,7,28.25
2015,8,101.71
2015,9,56.19
2015,10,30.37
2015,11,23.88
2015,12,4.9
2016,1,12.06
2016,2,9.24
2016,3,3.22
2016,4,1.28
2016,5,2.96
2016,6,12.31
2016,7,34.05
2016,8,149.89
2016,9,216.44
2016,10,122.67
2016,11,128.85
2016,12,6.02
2017,1,6.4
2017,2,8.39
2017,3,60.98
